rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
241,200963,540,0011i000001xmsr,0
242,200968,2060,0011i000001xnXe,0
243,200971,706,0011i000001xmuF,0
244,200974,1275,0011i000001xn8c,0
245,200980,713,0011i000001xn9r,19
246,200982,608,0011i000001xmgJ,0
247,200984,100,0011i000001xnPC,329
248,200987,205,0011i000001xn7r,0
249,201003,212,0011i000001xmwf,86
250,201012,2086,0011i000001xnEo,14
251,201014,2086,0011i000001xnEo,0
252,201021,84,0011i000001xnCE,0
253,201026,85,0011i000001xn9c,0
254,201028,1430,0011i000001xncK,26
255,201030,1455,0011i000001xnd7,0
256,201032,541,0011i000001xnVs,0
257,201036,1588,0011i000001xnNN,219
258,201041,1901,0011i000001xn16,56
259,201047,1608,0011i000001xmzz,45
260,201048,2095,0011i000001xml7,0
261,201049,90,0011i000001xn2V,0
262,201050,1740,0011i000001xmlq,0
263,201054,1912,0011i000001xmmo,111
264,201055,1948,0011i000001xnPp,38
265,201059,1686,0011i000001xnW2,0
266,201060,1772,0011i000001xmao,0
267,201065,516,0011i000001xmfb,0
268,201072,1601,0011i000001xmuH,18
269,201074,249,0011i000001xnHE,0
270,201076,1765,0011i000001xmiG,0
271,201080,769,0011i000001xmbm,0
272,201085,946,0011i00000vJl2m,0
273,201091,1898,0011i000001xnOM,88
274,201093,2075,0011i000001xnXf,0
275,201097,1469,0011i000001xnWD,0
276,201201,1762,0011i000001xmjE,0
277,201202,1764,0011i000001xnC7,0
278,201208,541,0011i000001xnVs,0
279,201210,671,0011i000001xmdU,0
280,201218,557,0011i000001xn0a,0
281,201219,1767,0011i000001xmbN,0
282,201227,1288,0011i000001xnJF,0
283,201230,766,0011i000001xmhg,0
284,201231,800,0011i000001xmvI,0
285,201234,47,0011i000001xnd2,41
286,201236,843,0011i000001xms6,0
287,201237,1347,0011i000001xn8j,0
288,201239,712,0011i000001xnZW,0
289,201240,1465,0011i000001xnHI,44
290,201241,450,0011i000001xmfe,0
291,201251,2055,0011i000001xnB9,0
292,201256,1465,0011i000001xnHI,44
293,201266,1965,0011i000001xmjK,0
294,201276,1596,0011i000001xmug,0
295,201278,541,0011i000001xnVs,0
296,201283,1678,0011i000001xmjW,276
297,201286,2074,0011i000001xnQh,638
298,201290,1134,0011i000001xnbv,0
299,201291,1329,0011i000001xnPl,80
300,201292,76,0011i000001xmjd,11
301,201303,1125,0011i000001xmj7,0
302,201307,2012,0011i000001xnKf,933
303,201308,2003,0011i000001xmfM,0
304,201309,554,0011i00000k1W9i,0
305,201310,189,0011i000001xnCt,0
306,201312,1596,0011i000001xmug,467
307,201313,1750,0011i000001xmpj,0
308,201315,554,0011i00000k1W9i,0
309,201318,927,0011i000001xndA,0
310,201319,1840,0011i000001xnQ0,0
311,201320,1242,0011i000001xmcP,0
312,201324,1922,0011i000001xnHR,374
313,201329,1217,0011i000001xncj,0
314,201330,941,0011i000001xnWw,65
